9554,"Aflibercept – Setting its Sights on Diabetic Macular Oedema (HSC) Medicine - Diabetes; (HSC) Medicine - Drug Design; (HSC) Medicine - Ophthalmology;  European Ophthalmic Review ---Touch Medical Media Centre Hospitalier Universitaire, Bordeaux, France Department of Ophthalmology, University of Amsterdam, The Netherlands Royal Liverpool University Hospital, UK http://retractionwatch.com/2015/06/05/well-tell-you-later-says-ophthalmology-journal-about-retracted-paper/",+Notice - Lack of+Retract and Replace,Jean-François Korobelnik Reinier Schlingemann Jan Pearce,10/03/2014  10.17925/EOR.2014.08.02.152,01/01/2015,Conference Abstract/Paper Retraction,France Netherlands United Kingdom Unknown
4602,"Bayes clustering and structural support vector machines for segmentation of carotid artery plaques in multicontrast MRI (B/T) Computer Science; (HSC) Medicine - Cardiology; (HSC) Radiology/Imaging;  Computational and Mathematical Methods in Medicine ---Taylor and Francis College of Computer Science, Zhejiang University of Technology, Hangzhou 310023, China Department of Radiology, University of Cambridge, Hills Road, Cambridge CB2 0SP, UK http://retractionwatch.com/2015/03/11/wtf-highly-opaque-retraction-notice-for-imaging-paper/",+Notice - Limited or No Information+Unreliable Results,Qiu Guan Bin Du Zhongzhao Teng Jonathan Gillard Shengyong Chen,12/19/2012 23365619 10.1155/2012/549102,03/10/2014 25690902 10.1155/2014/836280,Research Article Retraction,China United Kingdom No
422,"Biochemical Predictors of Delirium Tremens in Patients in Alcohol Withdrawal (BLS) Toxicology; (HSC) Biostatistics/Epidemiology; (HSC) Medicine - Pathology; (HSC) Medicine - Psychiatry;  Alcohol and Alcoholism: International Journal of the Medical Council on Alcoholism ---Oxford University Press Department of Psychiatry, Padmashree Dr D Y Patil Hospital, Nerul, Navi Mumbai, India http://retractionwatch.com/2014/07/31/article-about-alcohol-withdrawal-withdrawn/",+Error in Data+Error in Results and/or Conclusions,Devavrat Harshe Amulya Shetty Shruti Kirti Rai Omkar S Mate Anjali Karira Aparna Ramakrishnan Rashmin Cholera Sanjiv Kale,08/21/2013  10.1093/alcalc/agt137,03/01/2014 23969553 10.1093/alcalc/agt137,Clinical Study Retraction,India No
6068,"Clofazimine in the Treatment of Multidrug-resistant Tuberculosis (BLS) Microbiology; (HSC) Medicine - Immunology; (HSC) Medicine - Pharmacology;  Clinical Microbiology and Infection ---Elsevier Department of Clinical Pharmacy, Shanghai Tenth People's Hospital, Shanghai, China Department of Tuberculosis, Shanghai Pulmonary Hospital, Tongji University School of Medicine, Shanghai, China http://retractionwatch.com/2014/01/17/we-did-what-authors-retract-paper-after-forgetting-theyd-published-the-same-article-elsewhere/",+Duplication of Article+Euphemisms for Duplication,H B Xu R H Jian H P Xiao,11/01/2012  10.1111/j.1469-0691.2011.03716.x,03/01/2014  10.1093/jac/dks077,Clinical Study Retraction,China Yes
3405,"Immunohistochemical detection of interleukin-6 in human skeletal muscle fibers following exercise (BLS) Biology - Cellular; (HSC) Medicine - Cardiovascular; (HSC) Medicine - Immunology; (PUB) Society/Association Journals;  FASEB Journal : Official Publication of the Federation of American Societies for Experimental Biology ---Federation of American Societies for Experimental Biology Department of Medical Anatomy, The Panum Institute, University of Copenhagen, Blegdamsvej 3, Department of Infectious Diseases and The Copenhagen  Muscle Research Centre, Rigshospitalet, Blegdamsvej 9, University of Copenhagen DK-2100 Copenhagen, Denmark http://retractionwatch.com/2014/03/04/penkowa-pedersen-paper-retracted-nearly-three-years-after-being-subjected-to-an-notice-of-concern/ http://retractionwatch.com/2013/12/19/danish-commitee-finds-klarlund-pedersen-penkowa-guilty-of-scientific-dishonesty/ http://retractionwatch.com/2017/05/19/denmark-institute-sweeping-changes-handling-misconduct/",+Investigation by Company/Institution+Investigation by Third Party+Manipulation of Images+Misconduct - Official Investigation/Finding+Misconduct by Author+Upgrade/Update of Prior Notice,Milena Penkowa Charlotte Keller Pernille Keller Sune Jauffred Bente Klarlund Pedersen,09/04/2003 12958150 10.1096/fj.03-0311fje,03/01/2014 24578137 10.1096/fj.03-0311fjeRET,Clinical Study Retraction,Denmark No
3408,"Interleukin-6 receptor expression in contracting human skeletal muscle: regulating role of IL-6 (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Cardiology; (HSC) Medicine - Immunology; (PUB) Society/Association Journals;  FASEB Journal : Official Publication of the Federation of American Societies for Experimental Biology ---Federation of American Societies for Experimental Biology Centre of Inflammation and Metabolism, Department of Infectious Diseases and The Copenhagen Muscle Research Centre, University Hospital of Copenhagen, Denmark  Department of Medical Anatomy, The Panum Institute, University of Copenhagen, Denmark  Animal Physiology Unit, Faculty of Sciences, Autonomous University of Barcelona, Spain http://retractionwatch.com/2014/03/04/penkowa-pedersen-paper-retracted-nearly-three-years-after-being-subjected-to-an-notice-of-concern/ http://retractionwatch.com/2017/05/19/denmark-institute-sweeping-changes-handling-misconduct/",+Investigation by Company/Institution+Investigation by Third Party+Manipulation of Images+Misconduct - Official Investigation/Finding+Misconduct by Author,Pernille Keller Milena Penkowa Charlotte Keller Adam Steensberg Christian P Fischer Mercedes Giralt Juan Hidalgo Bente Klarlund Pedersen,04/18/2005 15837717 10.1096/fj.04-3278fje,03/01/2014 24716228 10.1096/fj.04-3278fjeRET,Clinical Study Retraction,Denmark Spain No
3905,"Isolated Central Retinal Artery Occlusion as an Initial Presentation of Paroxysmal Nocturnal Hemoglobinuria and Successful Long-term Prevention of Systemic Thrombosis with Eculizumab (BLS) Anatomy/Physiology; (BLS) Biology - General; (HSC) Medicine - Ophthalmology; (HSC) Medicine - Surgery;  Japanese Journal of Ophthalmology ---Springer Department of Ophthalmology, Asan Medical Center, Seoul, Korea Department of Internal Medicine, Seoul Central Veterans Hospital, Seoul, Korea http://retractionwatch.com/2014/03/07/critical-data-errors-force-retraction-of-vision-paper/",+Error in Data+Unreliable Data,Hyun Seung Yang So Hyun Park Jung Ran Choi June-Gone Kim,07/14/2013 23765390 10.1007/s10384-013-0252-x,03/01/2014 24577730 10.1007/s10384-014-0313-9,Clinical Study Retraction,South Korea No
4889,"Isolated eccentric lingual diphtheria: A relevance (BLS) Microbiology; (HSC) Medicine - Immunology; (HSC) Medicine - Infectious Disease; (HSC) Medicine - Otorhinolaryngology; (HSC) Medicine - Pathology;  Indian Journal of Pathology & Microbiology ---Wolters Kluwer Department of ENT and HNS, Jawaharlal Nehru Medical College, Belgaum, India Department of ENT and HNS, Khaja Banda Nawaz Institute of Medical Sciences, Gulbarga, Karnataka, India",+Duplication of Image,Basavaraj P Belaldavar Nitin R Ankle Ashwin V Gajendran Ratkal Kedarnath,12/01/2013 24441251 10.4103/0377-4929.125377,03/01/2014 24739822 10.4103/0377-4929.130836,Case Report Retraction,India No
3344,"Jagged1 Regulates the Activation of Astrocytes Via Modulation of NFkB and JAK/STAT/SOCS Pathways (BLS) Biochemistry; (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Immunology;  Glia ---Wiley Laboratoire de Neurobiologie, Life Sciences, Université du Luxembourg, Luxembourg, 1511 Luxembourg http://retractionwatch.com/2014/01/01/university-of-luxembourg-investigation-leads-to-neuroscience-retraction/",+Error in Data+Unreliable Data+Unreliable Results,Eleonora Morga Laila Mouad-Amazzal Paul Felten Tony Heurtaux Mike Moro Alessandro Michelucci Sebastien Gabel Luc Grandbarbe Paul Heuschling,05/19/2009 19455581 10.1002/glia.20887,03/01/2014 24588028 10.1002/glia.22600,Research Article Retraction,Luxembourg No
4074,"Linear growth and circulating insulin-like growth factor I in children with tufting enteropathy receiving long-term TPN (BLS) Genetics; (HSC) Medicine - Gastroenterology; (HSC) Medicine - Pediatrics;  Journal of Pediatric Gastroenterology and Nutrition ---Wolters Kluwer - Lippincott Williams & Wilkins Departments of Pediatrics, the Pharmacology, Hamad General Hospital, DohaDepartment of Pediatrics, Alexandria University Children’s Hospital, Alexandria",+Error in Data+Error in Methods,Ashraf T Soliman Hatem Abdel Rahman Wail Said Ali Ahmed Elawwa Nada Al-Arag Hoda M Badran,08/01/2012 22411267 10.1097/MPG.0b013e318253b80a,03/01/2014 24553474 10.1097/MPG.0000000000000341,Clinical Study Retraction,Egypt Qatar No
1247,"Many Young Men with Prostate-specific Antigen (PSA) Screen-detected Prostate Cancers May be Candidates for Active Surveillance (BLS) Biology - Cancer; (BLS) Biology - Cellular; (HSC) Medicine - Urology/Nephrology;  BJU International ---Wiley Department of Genitourinary Medical Oncology, The University of Texas MD Anderson Cancer Center, Houston, TX, USA San Antonio Military Medical Center, San Antonio, TX, USA 60th Medical Group, David Grant USAF Medical Center, Travis AFB, CA, USA 88th Medical Group, Wright-Patterson Medical Center, Wright-Patterson AFB, OH, USA 96th Medical Group, Eglin Regional Hospital, Eglin AFB, FL, USA Center for Prostate Disease Research, Walter Reed National Military Medical Center, Bethesda, MD, USA Womack Army Medical Center, Fort Bragg, NC, USA Department of Urology, Cancer Biology, The University of Texas MD Anderson Cancer Center, Houston, TX, USA Department of Behavioral Sciences The University of Texas MD Anderson Cancer Center, Houston, TX, USA http://retractionwatch.com/2014/02/18/irb-mishap-costs-md-anderson-team-a-paper-on-prostate-cancer/",+Error in Methods+Lack of IRB/IACUC Approval,Jeri Kim James Ebertowski Matthew Janiga Jorge Arzola Gayle Gillespie Michael Fountain Douglas Soderdahl Edith Canby-Hagino Sally Elsamanoudi Jennifer Gurski John W Davis Patricia A Parker Douglas D Boyd,01/25/2013 23350937 10.1111/j.1464-410X.2012.11768.x,03/01/2014 25003161 10.1111/bju.12613,Research Article Retraction,United States No
1051,"Molecular pathways underlying IBD-associated colorectal neoplasia: therapeutic implications (BLS) Biology - Molecular; (HSC) Medicine - Gastroenterology;  The American Journal of Gastroenterology ---Nature Publishing Group Department of Internal Medicine, Cleveland Clinic, Cleveland, OH, USA http://retractionwatch.com/2014/03/12/reverse-peristalsis-for-gut-journal-which-disgorges-cleveland-clinic-paper-for-plagiarism/",+Plagiarism of Text,Gati A Goel Ahmen Kandiel Jean Paul Achkar Bret Lashner,03/08/2011 21386829 10.1038/ajg.2011.51,03/01/2014 24594967 10.1038/ajg.2014.3,Research Article Retraction,United States No
4065,"Normosmic idiopathic hypogonadotropic hypogonadism: update on the genetic background and future challenges (BLS) Genetics; (BLS) Neuroscience; (HSC) Medicine - Endocrinology; (HSC) Medicine - Neurology; (HSC) Medicine - Pediatrics;  Journal of Pediatric Endocrinology & Metabolism ---De Gruyter Department of Pediatrics, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan",+Plagiarism of Article,Aws K Fathi Xiaoping Luo,05/03/2013 23640935 10.1515/jpem-2013-0061,03/01/2014 24741706 10.1515/jpem-2014-0999,Review Article Retraction,China No
4071,"Obesity predictors in people with chronic spinal cord injury: A common mistake. (HSC) Medicine - Infectious Disease;  Journal of Research in Medical Sciences: the Official Journal of Isfahan University of Medical Sciences ---Isfahan University of Medical Sciences Safety Promotion and Injury Prevention Research Centre, Department of Clinical Epidemiology, Shahid Beheshti University of Medical Sciences, Tehran, Iran",+Error by Journal/Publisher,Siamak Samour,01/01/2014 24672571 unavailable,03/01/2014 24949043 unavailable,Letter Retraction,Iran No
4713,"Reconstructive surgery with chin block graft and esthetic rehabilitation of missing anterior tooth (HSC) Medicine - Dentistry; (HSC) Medicine - Surgery;  Journal of Indian Society of Periodontology ---Wolters Kluwer Department of Periodontics, Dasmesh Institute of Research and Dental Sciences, Faridkot, Punjab, India http://retractionwatch.com/2014/08/27/this-retraction-has-teeth-journal-changes-publication-policy-after-discovering-misconduct/",+Concerns/Issues about Referencing/Attributions,Preetika Bansal Pardeep Bansal,03/01/2014 24872642 10.4103/0972-124X.131354,03/01/2014 25210251,Clinical Study Retraction,India No
3682,"Reduction of Microalbuminuria in Patients With Type 2 Diabetes: The Shiga Microalbuminuria Reduction Trial (SMART) (BLS) Biology - Molecular; (HSC) Medicine - Diabetes; (PUB) Society/Association Journals;  Diabetes Care ---American Diabetes Association Department of Medicine, Shiga University of Medical Science, Seta, Otsu 520-2192, Japan http://retractionwatch.com/2014/04/02/novartis-diovan-scandal-claims-two-more-papers/",+Concerns/Issues about Referencing/Attributions+Falsification/Fabrication of Data+Investigation by Company/Institution+Unreliable Results,The Shiga Microalbuminuria Reduction Trial (SMART),06/01/2007 17363751 10.2337/dc06-2493,03/01/2014 24558079 10.2337/dc14-rt03,Clinical Study Retraction,Japan No
5177,"Role of Clofazimine in the Treatment of Multidrug-resistant Tuberculosis: A Retrospective Observational Cohort Assessment (BLS) Biochemistry; (BLS) Biology - Molecular; (HSC) Medicine - Cardiovascular; (HSC) Medicine - Infectious Disease; (HSC) Medicine - Pharmacology;  The Journal of Antimicrobial Chemotherapy ---Oxford University Press Department of Clinical Pharmacy, Shanghai Tenth People’s Hospital Department of Tuberculosis, Shanghai Pulmonary Hospital, Tongji UniversitySchool of Medicine, Shanghai, China http://retractionwatch.com/2014/01/17/we-did-what-authors-retract-paper-after-forgetting-theyd-published-the-same-article-elsewhere/",+Duplication of Article+Euphemisms for Duplication,Hong-Bin Xu Rui-Hua Jiang Shen-Jie Tang Ling Li He-Ping Xiao,03/01/2014 00000000 10.1093/jac/dks077,03/01/2014 22396431 10.1093/jac/dks077,Clinical Study Retraction,China No
1643,"Transanal haemorrhoidal dearterialisation with mucopexy versus stapler haemorrhoidopexy: a randomised trial with long-term follow-up (HSC) Medicine - Cardiovascular; (HSC) Medicine - Surgery;  Annals of the Royal College of Surgeons of England ---Royal Society Publishing Hospital ‘Madonna delle Grazie’, Rome, Italy Hospital ‘Paolo Colombo’, Rome, Italy Hospital ‘San Sebastiano’, Rome, Italy University of Rome ‘La Sapienza’, Latina, Italy Hospital ‘San Giovanni-Addolorata’, Rome, Italy  http://retractionwatch.com/2014/05/05/dubai-ous-journal-yanks-surgery-paper-for-consent-data-issues/",+Complaints about Author+Investigation by Journal/Publisher+Lack of Approval from Company/Institution+Unreliable Data,Pierino Lucarelli Marcello Picchio M Caporossi Francesco de Angelis Annalisa di Filippo Francesco Stipa Erasmo Spaziani,05/01/2013 23676807 10.1308/003588413X13511609958136,03/01/2014 24780663 10.1308/rcsann.2014.94,Clinical Study Retraction,Italy No
1523,"Early Inflammatory Reactions in Atherosclerosis Are Induced by Proline-Rich Tyrosine Kinase/Reactive Oxygen Species–Mediated Release of Tumor Necrosis Factor-a and Subsequent Activation of the p21Cip1/Ets-1/p300 System (BLS) Biology - Cancer; (BLS) Biology - Cellular; (BLS) Biology - General; (HSC) Medicine - Cardiology; (HSC) Medicine - Cardiovascular;  Arteriosclerosis, Thrombosis, and Vascular Biology ---American Heart Association Department of Cardiovascular Medicine, Kyoto Prefectural University School of Medicine, Kyoto, Japan Department of Pathology I, Kansai Medical University, Osaka, Japan., Department of Cardiovascular Medicine, Kyoto Prefectural University of Medicine, Kamigyo-ku, Kyoto, 602-8566, Japan. E-mail okigakim@koto.kpu-m.ac.jp http://retractionwatch.com/2014/05/26/ninth-retraction-appears-for-cardiology-researcher-matsubara/",+Falsification/Fabrication of Image+Investigation by Company/Institution,Asako Katsume Mitsuhiko Okigaki Akihiro Matsui Jishan Che Yasushi Adachi Eigo Kishita Shinichiro Yamaguchi Koji Ikeda Tomomi Ueyama Satoaki Matoba Hiroyuki Yamada Hiroaki Matsubara,03/03/2011 21372295 10.1161/ATVBAHA.110.221804,02/27/2014 24578382 10.1161/ATV.0000000000000005,Research Article Retraction,Japan No
4101,"Expression of angiotensin II and its receptors in cyclosporine-induced gingival overgrowth (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Dentistry; (HSC) Medicine - Pharmacology;  Journal of Periodontal Research ---Wiley Department of Periodontics, Sri Ramachandra Dental College and Hospital, Sri Ramachandra University, ChennaiBiotechnology Division, National Environmental Engineering Research Institute, ChennaiDepartment of Nephrology, Sri Ramachandra Medical College, Sri Ramachandra University, ChennaiDepartment of Cell and Molecular Biology, Faculty of Biotechnology and Biomolecular Sciences, University Putra Malaysia, Serdang",+Error in Data+Error in Methods+Results Not Reproducible,T Subramani K Senthilkumar S Periasamy S Rao,10/28/2012 23106187 10.1111/jre.12020,02/27/2014 24772460 10.1111/jre.12178,Research Article Retraction,India Malaysia No
17737,"EP News: Basic and Translational (HSC) Medicine - Cardiology;  Heart Rhythm ---Elsevier Department of Pharmacology, Columbia University, New York, New York",+Duplication of Article+Error by Journal/Publisher,Penelope A Boyden,02/22/2014 00000000 10.1016/j.hrthm.2014.01.020,02/22/2014 00000000 10.1016/j.hrthm.2014.01.020,Research Article Retraction,United States No
17196,"Health of Home-Based Sex Workers and their Children in Rural Andhra Pradesh, India (HSC) Occupational Health and Safety; (HSC) Public Health and Safety;  Asian Population Studies ---Taylor and Francis Rollins School of Public Health at Emory University in Atlanta http://retractionwatch.com/2014/03/06/sex-work-paper-falls-in-data-dispute/",+Copyright Claims,Monique M Hennick Solveig A Cunningham,06/10/2011 00000000 10.1080/17441730.2011.576822,02/21/2014 00000000 10.1080/17441730.2014.886358,Research Article Retraction,United States No
1160,"Joined at the Hip? A Paleoepidemiological Study of Developmental Dysplasia of the Hip and Its Relation to Swaddling Practices Among Indigenous Peoples of North America (BLS) Biology - General; (HSC) Biostatistics/Epidemiology;  American Journal of Human Biology: The Official Journal of the Human Biology Council ---Wiley Department of Anthropology, Boise State University, Boise, Idaho, USA http://retractionwatch.com/2014/02/28/hip-disjoint-dysplasia-paper-lacks-proper-attribution-earns-retraction/",+Concerns/Issues about Referencing/Attributions+Euphemisms for Plagiarism+Manipulation of Images+Plagiarism of Article,Samantha H Blatt,10/07/2013 24123551 10.1002/ajhb.22458,02/19/2014 24701639 10.1002/ajhb.22519,Research Article Retraction,United States No
17733,"Osteoporosis and Somatization of Anxiety (HSC) Medicine - Orthopedics; (HSC) Medicine - Psychiatry;  Procedia - Social and Behavioral Sciences ---Elsevier City Unity College, Psychology Department, Thiseos 15-17 St., Athens 10562, Greece",+Duplication of Article+Error by Journal/Publisher,Maria Papanikou Anastasia Kotsopoulou,02/07/2014 00000000 10.1016/j.sbspro.2014.01.010,02/15/2014 00000000 10.1016/j.sbspro.2014.01.010,Research Article Retraction,Greece No
17734,"The Influence of Stress on the Quality of Life of Hypertensive Patients (HSC) Medicine - Cardiovascular; (HSC) Medicine - Psychiatry;  Procedia - Social and Behavioral Sciences ---Elsevier Health Center of S. Pedro do Sul, Largo do Hospital s/n , 3660-439 São Pedro do Sul, Portugal Health School - Polytechnic Institute of Viseu, CI&DETS, FCT, 3500-843 Viseu, Portugal",+Duplication of Article+Error by Journal/Publisher,Liliana Santos Claudia Chaves Ana Andrade Joao Duarte,02/07/2014 00000000 10.1016/j.sbspro.2014.01.006,02/15/2014 00000000 10.1016/j.sbspro.2014.01.006,Research Article Retraction,Portugal No
17732,"Assessment of Family Functionality Among the Elderly with Chronic Illness (HSC) Medicine - Geriatric; (SOC) Sociology;  Procedia - Social and Behavioral Sciences ---Elsevier Study Center in Education, Technology and Health (CI&DETS), Polytechnic Institute, 3500-843 Viseu, Portugal Public Health Unit of Dão-Lafões, 3670-257 Vouzela, Portugal",+Duplication of Article+Error by Journal/Publisher,Claudia Chaves Odete Amaral Paula Nelas Emilia Coutinho Rui Dionisio,02/07/2014 00000000 10.1016/j.sbspro.2014.01.011,02/14/2014 00000000 10.1016/j.sbspro.2014.01.011,Research Article Retraction,Portugal No
48,"Design and Formulation Technique of a Novel Drug Delivery System for Azithromycin and its Anti-bacterial Activity Against Staphylococcus aureus (BLS) Biology - General; (BLS) Microbiology; (HSC) Medicine - Drug Design;  AAPS PharmSciTech ---Springer Centre for Nanobiotechnology, VIT University, Vellore, 632-014, Tamil Nadu, India http://retractionwatch.com/2014/02/21/pharmaceutical-journal-retracts-antibiotics-paper-with-dodgy-data-with-an-unclear-notice/",+Unreliable Data+Unreliable Results,M Joyce Nirmala Amitava Mukherjee N Chandrasekaran,06/26/2013 23800858 10.1208/s12249-013-9993-6,02/12/2014 24515271 10.1208/s12249-014-0091-1,Research Article Retraction,India Yes
2509,"Detection of ESBL among AmpC producing enterobacteriaceae using inhibitor-based method (BLS) Biology - Cellular; (BLS) Microbiology; (HSC) Medicine - Pathology;  The Pan African Medical Journal (PAMJ) ---Pan African Medical Journal (PAMJ) Department of Microbiology, Centre for Post Graduate Studies, Jain University, Bangalore, Karnataka--560 011, India http://retractionwatch.com/2014/02/20/protracted-and-unresolved-authors-dispute-and-striking-similarities-lead-to-two-retractions/",+Investigation by Journal/Publisher+Plagiarism of Article,S Bakthavatchalu U Shakthivel T Mishra,01/20/2013 23504148 10.11604/pamj.2013.14.28.1347,02/12/2014 24523949 10.11604/pamj.2014.17.104.4004,Research Article Retraction,India No
2507,"Association between the use of biomass fuels on respiratory health of workers in food catering enterprises in Nairobi Kenya (BLS) Toxicology; (ENV) Ecology; (HSC) Occupational Health and Safety; (HSC) Public Health and Safety;  The Pan African Medical Journal (PAMJ) ---Pan African Medical Journal (PAMJ) Department of Public Health, Kenyatta University, Kenya  London School of Hygiene, United Kingdom  Department of Environmental Health, Tshwane University of Technology, South Africa  Health Systems Research Unit, South African Medical Research Council, South Africa  Jacobus Engelbrecht, Department of Environmental Health, Tshwane University of Technology, Private Bag X680, Pretoria, South Africa http://retractionwatch.com/2014/02/20/protracted-and-unresolved-authors-dispute-and-striking-similarities-lead-to-two-retractions/",+Notice - Limited or No Information+Objections by Author(s),Margaret Keraka Carolyne Ochieng Jacobus Engelbrecht Charles Hongoro,05/06/2013 23898361 10.11604/pamj.2013.15.12.1831,02/10/2014 24520425 10.11604/pamj.2014.17.103.3995,Research Article Retraction,Kenya South Africa United Kingdom No
8124,"Occupation-related findings in patients with degenerative disc disease of the lumbar spine. Investigation of assessment relevant questions of the occupational disease number 2108 by descriptive representation of the data from the German spinal study (HSC) Occupational Health and Safety;  Der Orthopäde ---Springer Abteilung Arbeitsschutz und Sicherheitstechnik, Dezernat Landesgewerbearzt, Regierungspräsidium Darmstadt, Wiesbaden, Deutschland Institut für medizinische Epidemiologie, Biometrie und Informatik Martin-Luther-Universität Halle/Wittenberg Halle, Deutschland Orthopädische Universitätsklinik Regensburg Bad Abbach, Deutschland Radiologische Abteilung Knappschaftskrankenhaus Dortmund Dortmund, Deutschland Orthopädie und Unfallchirurgie, Orthopädiezentrum Arabellapark (OZA), München, München, Deutschland Institut und Poliklinik für Arbeits- und SozialmedizinTechnische Universität Dresden, Dresden, Deutschland",+Notice - Limited or No Information,O Linhardt U Bolm-Audorff A Bergmann K G Hering J Haerting G Petereit-Haack A Seidler T Vaitl J Grifka,02/06/2014 23934043 10.1007/s00132-013-2169-y,02/09/2014 24509707 10.1007/s00132-014-2254-x,Research Article Retraction,Germany No
17241,"A novel approach to treat residual peridevice leakage after left-atrial appendage closure (HSC) Medicine - Cardiology; (HSC) Medicine - Surgery;  Catheterization and Cardiovascular Interventions ---Wiley CardioVascular Center, Frankfurt, Germany John Radcliffe Hospital, Oxford, United Kingdom http://retractionwatch.com/2014/07/03/author-squabble-sinks-cardiology-papers/",+Complaints about Author+Concerns/Issues About Authorship+Objections by Author(s),Nina Wunderlich Neil Wilson Horst Sievert,04/29/2013 23629764 10.1002/ccd.23014,02/07/2014 00000000 10.1002/ccd.25402,Research Article Retraction,Germany United Kingdom No
17242,"A novel technique to remove a right atrial thrombotic mass attached to a patent foramen ovale (PFO) closure device (HSC) Medicine - Cardiology; (HSC) Medicine - Surgery;  Catheterization and Cardiovascular Interventions ---Wiley CardioVascular Center, Frankfurt, Germany http://retractionwatch.com/2014/07/03/author-squabble-sinks-cardiology-papers/",+Complaints about Author+Concerns/Issues About Authorship+Objections by Author(s)+Withdrawal,Nina Wunderlich Jennifer Franke Horst Sievert,04/24/2013 23613302 10.1002/ccd.24972,02/07/2014 00000000 10.1002/ccd.25403,Case Report Research Article Retraction,Germany No
2332,Eliciting broadly neutralizing antibodies against HIV-1 that target gp41 MPER (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Immunology; (HSC) Medicine - Infectious Disease;  Retrovirology ---BioMed Central (BMC) Iowa State University  Albert Einstein College of Medicine  Duke University http://retractionwatch.com/2014/02/07/faked-hiv-vaccine-research-presentation-retracted/ http://retractionwatch.com/2013/12/22/former-iowa-state-researcher-faked-hiv-vaccine-findings-ori/,+Falsification/Fabrication of Data+Investigation by Company/Institution+Investigation by ORI+Misconduct - Official Investigation/Finding+Misconduct by Author,Dong-Pyou Han H Habte Y Qin K Takamoto C LaBranche D Montefiori M W Cho,09/12/2012 24502228 10.1186/1742-4690-9-S2-P362,02/06/2014 24502228 10.1186/1742-4690-11-16,Conference Abstract/Paper Research Article Retraction,United States No
11315,"In vitro and in vivo molecular evidence of genistein action in augmenting the efficacy of cisplatin in pancreatic cancer (BLS) Biology - Cellular; (HSC) Medicine - Oncology; (PUB) Society/Association Journals;  International Journal of Cancer ---Wiley Department of Pathology, Barbara Ann Karmanos Cancer Institute, Wayne State University School of Medicine, Detroit, MI  Department of Surgical Oncology, The University of Texas MD Anderson Cancer Center, Houston, TX  Department of Gastrointestinal Medical Oncology, The University of Texas MD Anderson Cancer Center, Houston, TX http://retractionwatch.com/2016/06/17/scientist-who-sued-pubpeer-earns-5-retractions-following-wayne-state-investigation/ http://retractionwatch.com/the-retraction-watch-leaderboard/ http://retractionwatch.com/2016/08/18/five-more-retractions-for-researcher-who-sued-pubpeer-commenters-brings-tally-to-18/ http://retractionwatch.com/2016/08/12/meet-the-researcher-who-tried-to-take-on-pubpeer-commenters-fazlul-sarkar/",+Duplication of Image+Investigation by Company/Institution+Manipulation of Images+Misconduct - Official Investigation/Finding,Sanjeev Banerjee Yuxiang Zhang Zhiwei Wang Mingxin Che Paul J Chiao James L Abbruzzese Fazlul H Sarkar,11/27/2006 17131310 10.1002/ijc.22332,02/06/2014 17131310 10.1002/ijc.28710,Research Article Correction,United States No
11314,"Inhibition of nuclear factor kappab activity by genistein is mediated via Notch-1 signaling pathway in pancreatic cancer cells (BLS) Biology - Cellular; (HSC) Medicine - Oncology; (PUB) Society/Association Journals;  International Journal of Cancer ---Wiley Department of Pathology, Karmanos Cancer Institute, Wayne State University School of Medicine, Detroit, MI http://retractionwatch.com/2016/06/17/scientist-who-sued-pubpeer-earns-5-retractions-following-wayne-state-investigation/ http://retractionwatch.com/the-retraction-watch-leaderboard/ http://retractionwatch.com/2016/08/18/five-more-retractions-for-researcher-who-sued-pubpeer-commenters-brings-tally-to-18/ http://retractionwatch.com/2016/08/12/meet-the-researcher-who-tried-to-take-on-pubpeer-commenters-fazlul-sarkar/",+Duplication of Image+Investigation by Company/Institution+Manipulation of Images+Misconduct - Official Investigation/Finding,Zhiwei Wang Yuxiang Zhang Sanjeev Banerjee Yiwei Li Fazlul H Sarkar,11/11/2005 16284950 10.1002/ijc.21589,02/06/2014  10.1002/ijc.28709,Research Article Correction,United States No
3144,EANM Abstracts 2013 P469 (BLS) Biology - Molecular; (BLS) Neuroscience; (HSC) Radiology/Imaging;  European Journal of Nuclear Medicine and Molecular Imaging ---Springer unavailable,+Error in Analyses+Withdrawal,L Xingdang,10/19/2013 00000000 unavailable,02/05/2014 24496606 10.1007/s00259-013-2661-y,Conference Abstract/Paper Retraction,Unknown No
17188,"Medically Fit for Commercial Spaceflight (B/T) Transportation; (HSC) Medicine - General; (PHY) Astrophysics;  New Space ---Mary Ann Liebert National AeroSpace Training and Research (NASTAR) Center in Philadelphia, PA http://retractionwatch.com/2014/02/24/failure-to-launch-inaccuracies-incomplete-and-incorrect-references-ground-space-tourist-paper/",+Plagiarism of Article+Withdrawal,Brienna L Henwood,12/01/2013 00000000 unavailable,02/04/2014 00000000 10.1089/space.2013.0020.ret,Review Article Retraction,United States Yes
