citfunc,sectitle,refentry,art,sectype,sectype2,refid,sec,ctx,pointerlist,nbcontexts,nbsections,itrp,anchorsent,partext,potential_cf,annotator,dataset
"credits","the rise of the anti-vaccine movement ","","10.1177/1073110516667942","","","","","","","","","","contemporary vaccine resistance is frequently tied to a 1998 article in the lancet written by dr. andrew wakefield and colleagues.7 the article suggested a link between the measles, mumps, rubella (mmr) vaccine and autism, turning “tens of thousands of parents” against the mmr vaccine.","","","credits","coci_wakefield_ret_intext_ref.csv"
"cites for information","the catalyst: the wakefield scandal","","10.1162/posc_a_00223","introduction","","","","","","","","","a narrative routinely repeated in the biomedical, public health, and popular science literature focuses on the problem of the public, whose ignorance and fear make us susceptible to misinformation by anti-science interests. the problem of the ignorant public is alleged to explain why, despite concerted health promotion and outreach efforts, vaccine hesitancy still persists 18 years after the publication of the notorious lancet study (wakefield et al. 1998) that galvanized current anti-vaccine sentiment.1 the story goes like this:","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"credits","the catalyst: the wakefield scandal","","10.1162/posc_a_00223","introduction","","","","","","","","","most chronologies of the mmr-autism debacle, and the resulting drop in immunization rates, commence with the publication of british gastroenterologist andrew wakefield and colleagues’ notorious 1998 study, “ileal-lymphoid-nodular hyperplasia, non-specific colitis, and pervasive developmental disorder in children,” in the lancet (wakefield et al. 1998).2 the research team presented an early report of a small case-series where they claimed to have identified, using colonoscopy studies in 12 children with autism or related disorders, a new form of inflammatory bowel disease that they called “autistic enterocolitis.”","","","credits","coci_wakefield_ret_intext_ref.csv"
"discusses","experiments and results","","10.1109/dsaa.2016.65","results","","","","","","","","","in 1998, wakefield et al. published a work which reported epidemiological findings linking measles, mumps, and rubella (mmr) vaccination and the development of asd and colitis [21]. despite the full retraction of the article, after numerous subsequent studies failed to show the claimed link, vaccination continues to be an occurring theme in asd literature.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"disputes","experiments and results","","10.1109/dsaa.2016.65","results","","","","","","","","","investigating the results reveals another topic that at first might seem unrelated to vaccination, but some domain knowledge shows how the two are connected.
as mentioned earlier, wakefield suggested that mmr vaccine contributes to the developing asd [21] and many subsequent works proved him to be wrong. but, this controversial topic gave rise to many studies that investigated the contribution of environmental factors to the developing asd; from prenatal exposure to valproic acids to postnatal exposure to mercury","","","disputes","coci_wakefield_ret_intext_ref.csv"
"critiques","","","10.1002/ddr.21369","introduction","","","","","","","","","the mainstream media routinely provides extensive coverage to incidents of scientific fraud and with good reason. the fraudulent association between the mumps, measles and rubella (mmr) vaccine and autism in children that was published in 1998 in lancet [wakefield et al, 1998] was finally withdrawn but not until 2010 [editors of the lancet, 2010]. this is just one example and the results of such fraud not only damage the reputation of all scientists, but also result in real harm to the global population due to a grass roots anti‐vaccination movement that resulted in a reduction in mmr vaccine use, from a level of 92% in 1995 to 84% or less in 2002 that reduced herd immunity to a level below the 90‐95% required to protect the entire population.","","","critiques","coci_wakefield_ret_intext_ref.csv"
"cites for information","the antivaccine movement ","","10.1097/01.npr.0000476371.27491.20","","","","","","","","","","additionally, 17% of parents refused all vaccines, and in a 2009 survey, 11.5% of parents of children age 17 and younger reported refusing at least one vaccine.3 
immunization refusal is often due to misinformation perpetuated by the antivaccination movement that includes some well-known celebrities who claim that vaccines cause autism despite the fact that the pivotal british study from which they base their arguments was widely discredited and retracted.4 unfortunately, this movement continues to make inroads, and there are a growing number of parents who seek nonmedical (personal or religious) exemptions from vaccinations for their children to attend public schools.","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"discusses","case series","","10.1007/978-3-319-41899-5_8","","","","","","","","","","because of these weaknesses, case series can cause useful treatments to be abandoned, or potentially harmful procedures to be adopted [28]. consider the 1998 series of 12 cases by wakefield et al. which postulated a relationship between measles, mumps, and rubella (mmr) vaccination and chronic enterocolitis and regressive developmental disorder in children [29]. this paper was found to be fraudulent and was subsequently retracted, and any connection between mmr vaccination and autism was debunked in several epidemiologic studies.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"critiques","criticisms of peer review","","10.1038/jp.2016.209","","","","","","","","","","however, a single flawed paper, particularly in a journal with a significant impact, can do incalculable harm (even if it was peer-reviewed). a prime example is wakefield et al.12 flawed and repudiated study that continues to fan the flames of vaccine hysteria despite its retraction.13","","","critiques","coci_wakefield_ret_intext_ref.csv"
"cites for information","the role of information in decision-making","","10.1080/21645515.2016.1219824","","","","","","","","","","while describing decisions regarding vaccinating their children or not, parents from the upper middle class families referred to the use of internet as a means of cross-checking details about a vaccine, its efficacy and side effects. a few of the participants referred to the mmr controversy13,14 and wondered aloud if vaccines themselves could cause potentially harmful side effects or if their child could be one of those who suffered an adverse event after being vaccinated. most of them referred to using the internet to find information on vaccines, a phenomenon that has been documented in other contexts.15","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"discusses","autism","","10.1007/978-3-319-43268-7_26","","","","","","","","","","this includes the hypothesis that a specific gi pathology is associated with asd, triggered by abnormal immune function or elevated intestinal permeability. a great amount of controversy has surrounded this issue since a publication in 1998 naming a new pathologic entity, “autistic enterocolitis,” as responsible for developmental regression in 12 children after administration of the measles-mumpsrubella (mmr) vaccine [40]. ultimately, this research was retracted for several reasons, including questionable research practices, as found by the general medical council of the united kingdom [41].","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","how can trust be enhanced? ","","10.1097/inf.0000000000001321","","","","","","","","","","this may also apply to vaccines. one of the most famous vaccination controversies started with an article from andrew wakefield et al in the lancet in 1998 suggesting an association between the mumps, measles and rubella vaccine and autism in children.33 this concern was greatly amplified by the media.34","","","discusses","coci_wakefield_ret_intext_ref.csv"
"critiques","discussion","","10.1080/21645515.2016.1264549","","","","","","","","","","in other countries, negative perceptions possibly focus on other vaccines. indeed, the controversial link between the mmr vaccine and autism, triggered by a flawed study published in the lancet in 1998,25 resulted in long-lasting resistance to this vaccine in the united kingdom.26 this vaccine hesitancy suggests that communication campaigns by health authorities and healthcare workers should inform the population about the innocuous nature of the vaccine, the lack of data documenting a link with suspected adverse effects, and the high level of supervision and regulation of the vaccine use.","","","critiques","coci_wakefield_ret_intext_ref.csv"
"credits","discussion","","10.1111/1753-6405.12607","","","","","","","","","","this could explain the predominance of the mmr vaccine over the varicella vaccine in our study. the mmr vaccine has been surrounded by controversy due to the infamous wakefield study.37 despite the fact that this study was openly discredited, the original unfounded message still pervades.","","","credits","coci_wakefield_ret_intext_ref.csv"
"cites as evidence","issues to be considered","","10.1007/s11673-016-9760-y","","","","","","","","","","it is also unknown how much “evidence” is fraudulent. a particularly troubling example was the paper by wakefield and colleagues (1998) asserting that the measles, mumps, and rubella vaccine was associated with autism that was later shown to be completely fraudulent (godlee et al. 2011). when as a doctor i ask someone to take a treatment because it is effective for their problem and will not cause them harm, i am asking them to trust me in making that judgement and to trust the evidence on which that judgement is based.","","","cites as evidence","coci_wakefield_ret_intext_ref.csv"
"obtains background from","citation patterns to papers without credibility","","10.1002/asi.23753","","","","","","","","","","discarding self‐citations, we found that out of 58,812 arxiv e‐prints in the hep‐th (theory) category that have been published in journals, ∼11% remain uncited; for 9,462 in hep‐ex (experiment) 6%; for 6,347 in hep‐lat (lattice) 8%; for 61,705 in hep‐ph (phenomenology) 8%; this gives a snapshot of hep noncitation patterns as radically different from “science and engineering” ones in general. consider the notorious, 1998 paper in the lancet by andrew wakefield et al. in which evidence was presented that could be interpreted as supporting the idea of a link between autism and mumps, measles, and rubella (mmr) vaccine. this paper, currently marked as “retracted” on google scholar, had received 2,142 citations as at 6 august 2015, more than 30 of them in 2015.","","","obtains background from","coci_wakefield_ret_intext_ref.csv"
"discusses","cobalamin and ppa in autism: interrelationships with mma and the microbiome","","10.1007/978-3-319-31143-2_47-1","","","","","","","","","","one study of 58 children with autism found unexpectedly lower stool ppa than among controls (adams et al. 2011a), while stool ppa was significantly elevated among a group of 23 children with autism compared to controls (wang et al. 2012). in a retracted lancet study (wakefield et al. 1998), urinary mma levels were elevated among 8 children with autism and gi symptomology. by contrast, no significant elevations in plasma mma were found among a group of 55 children with asd; however, there were also no indications of significant gi symptomology or sibo among this group (adams et al. 2011b).","","","discusses","coci_wakefield_ret_intext_ref.csv"
"cites for information","discussion","","10.1097/lgt.0000000000000262","","","","","","","","","","additionally, a strong anti-vaccination movement plays a significant role in parents' fear of vaccination. this concern is not supported by the current scientific knowledge and is mainly based on sporadically lost confidence in the safety of some other traditionally used vaccines, such as mmr vaccine.11–13 moreover, when introducing new vaccine such as the hpv vaccine, it often reinforces existing concerns, dilemmas, and “spillover effect,” which is manifested in a general lack of support for vaccines in the society.14","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"qualifies","measles–mumps–rubella vaccine","","10.1007/978-3-319-59952-6_9","","","","","","","","","","no cases of viral meningitis have been reported after mmr vaccines currently used in europe. 
in 1998, wakefield et al. published a paper in the lancet reporting that mmr vaccination, but not the single measles vaccine, was associated with autism. the paper was later retracted by the lancet.","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"discusses","discussion","","10.3934/publichealth.2017.2.127","","","","","","","","","","in the case of edward jenner’s work on a vaccine for smallpox, he was first attacked and ridiculed for his ideas and, of course, later vindicated. the modern rise of the anti-vaccine movement accelerated with a manuscript published in 1998 claiming that the mmr vaccine caused developmental disorders in children [23]. even though that article was retracted by the journal that published it [24], evidence suggests that a significant and dangerously high percentage of the u.s. population either delays or refuses vaccinations for their children within the first 24 months of life [25].","","","discusses","coci_wakefield_ret_intext_ref.csv"
"critiques","trust and perception of safety","","10.1097/nmc.0000000000000337","","","","","","","","","","cultural myths and beliefs of locals in nigeria create barriers to immunizations (babalola, 2011). mistrust and erroneous ideas about immunization in europe and north america have been compounded by the falsified and eventually retracted study linking the measles, mumps, rubella vaccine to autism (wakefield et al., 1998; who, 2003). 
fear of side effects of immunizations is also a barrier linked to trust.","","","critiques","coci_wakefield_ret_intext_ref.csv"
"qualifies","a suggestion for rational decision making","","10.1097/hcm.0000000000000159","","","","","","","","","","because the general public misunderstands the hierarchy of evidence, adverse effects or negative perceptions from conflicting information such as the false belief that vaccinations are associated with autism arose.61 a representative example in academia was a research report by wakefield et al62 that they had found an association between the mmr vaccination and autism in 1998.63 it was retracted officially because the researchers had violated research ethics and fabricated the data.","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"discusses","","","10.1007/978-3-319-65266-5_35","conclusions","","","","","","","","","in 1998, andrew wakefield and his colleagues reported a case series of 12 children with reactive intestinal changes and pervasive developmental disorder (mostly autism) that followed mmr vaccination. those findings created a worldwide scare from what the authors called in their paper the “mmr syndrome (wakefield et al. 1998). the years following wakefield’s publication witnessed greater reluctance by parents to using vaccines for their children that lead to outbreaks in measles and mumps in various countries (mcbrien 2003; pugh 2002), and recently in the usa (centers for disease control and prevention n.d.).","","","discusses","coci_wakefield_ret_intext_ref.csv"
"critiques","history of the vaccine controversy","","10.1097/dcc.0000000000000250","","","","","","","","","","it was retracted on february 2, 2010va full 12 years after it appeared! authored by andrew wakefield, john walker-smith, and 11 others from the royal free medical school, london, the original article reported on 12 developmentally challenged children and triggered a decade-long public health scare.7 the article and its conclusions were grossly inaccurate.","","","critiques","coci_wakefield_ret_intext_ref.csv"
"cites as evidence","retraction","","10.1007/978-3-319-62543-0_9","","","","","","","","","","in such situations, the uncertainty should increase and scientific knowledge as a collective belief system should be rolled back to the point prior to the publication of the retracted article. notorious examples of retracted studies include the highly controversial study on the connection between mmr vaccines and autism by wakefield et al. (1998), the bell lab physicist’s forging data (see service rf 2002), the high-profile retraction of hwang (kakuk 2009), and the rise and fall of stap.3 
we may all have heard a variant version of the same story.","","","cites as evidence","coci_wakefield_ret_intext_ref.csv"
"cites for information","historical case studies","","10.2217/cer-2016-0035","","","","","","","","","","ultimately, many physicians and institutions resisted the revisions, reducing their impact on screening practices [28,29]. 
vaccination: parents hesitate in 1998, a (subsequently retracted) paper in the lancet suggested that the measles, mumps and rubella vaccine could cause autism [30,31]. by 2004, measles vaccination rates in britain had plummeted to 80% – well below the 95% level the who recommends to ensure herd immunity [32].","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"obtains background from","ten highly cited retracted papers","","10.1007/s11192-016-2227-4","","","","","","","","","","citation in a  table","","","obtains background from","coci_wakefield_ret_intext_ref.csv"
"obtains background from","ten highly cited retracted papers","","10.1007/s11192-016-2227-4","","","","","","","","","","citation in a  table","","","obtains background from","coci_wakefield_ret_intext_ref.csv"
"credits","","","10.1177/1053451217692564","introduction","","","","","","","","","much of the fear that vaccines caused harm stemmed from claims that autism is caused by thimerosal, a mercury-based preservative previously used in the mmr (i.e., measles, mumps, rubella combination) vaccine. these claims originated when a former british surgeon, andrew wakefield, and his colleagues published a study in a prestigious medical journal the lancet that suggested there was a link between the mmr vaccine and the onset of symptoms in children with autism (wakefield et al., 1998). this resulted in a media explosion with more than 1,500 related articles being written about wakefield, the mmr vaccine, and autism (offit, 2008).","","","credits","coci_wakefield_ret_intext_ref.csv"
"credits","","","10.1111/cch.12453","introduction","","","","","","","","","increasing uptake amongst under‐immunized groups has been identified as a key priority for improving health outcomes and reducing health inequalities (department for communities and local government, 2012; department of health, 2012). immunization for the measles, mumps and rubella (mmr) vaccination fell following a discredited 1998 study positing a link between this vaccine, autism and bowel conditions (wakefield et al., 1998) but has increased in recent years reaching 92% in 2012–2013. this is still below the 95% coverage required for a population to achieve ‘herd immunity’ (health and social care information centre, hscic, 2013).","","","credits","coci_wakefield_ret_intext_ref.csv"
"discusses","","","10.1177/1468796817692629","introduction","","","","","","","","","unlike the more religious groups that are primarily inwardly oriented, this new anti-vaccination movement actively and successfully reaches out to new parents through anti-vaccination websites and tv celebrities. an important factor here is the mmr vaccine causes autism controversy a decade ago, in the wake of the publication of andrew wakefield's article in the lancet (wakefield et al., 1998).
by now, wakefield's claim has been fully debunked, the lancet retracted his article two years after its publication due to suspicions of fraud and the association of scientific interest with litigation-driven profit motives (deer, 2011).","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","why evaluate the connection between post-partum acetaminophen exposure and autism?","","10.1177/0300060517693423","","","","","","","","","","for reasons discussed above, it seems apparent that vaccines are not the underlying cause of the epidemic of autism, but at the same time, if history is any indication, ignoring the perspectives of parents is a grave error. the idea that vaccines induce autism has been widely blamed179 on a single article published by wakefield,180 but articles published in scientific journals are unlikely to sway public opinion. even repeated publications regarding the dangers of acetaminophen for neural development, for example, have had little impact on the use of acetaminophen in the pediatric population.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"cites for information","how to use the inpp questionnaire","","10.1002/9781119164746.ch7","","","","","","","","","","occasionally, children may become ill following one of their vac­cinations, and in rare cases may exhibit marked change in behavior and/ or may regress developmentally. whether vaccination acts as a trigger for developmental regression in these cases is controversial, but some authors maintain that “an autistic spectrum disorder (asd) phenotype has recently been described that is associated with developmental/ behavioural regression, enterocolitis and immune abnormalities [17, 18]. parental reports from the uk and the us and elsewhere frequently cite exposure to the measles–mumps–rubella (mmr) vaccine as the trigger for their child’s physical and behavioural deterioration” [19].","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"discusses","","","10.1002/rmv.1928","","","","","","","","","","the same applies to the use of citations to particular articles in the primary scientific literature, as can be illustrated simply. search for “side effects of mmr vaccine” and you will come across a 1998 publication in the renowned lancet by wakefield et al that will have been credited with many citations before it was formally retracted.2 this apparent popularity belies the fact that virtually all of the citations represent authors explaining why the information in the original article is incorrect, false, and/or misleading.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","association with other conditions","","10.1177/1755738016683410","","","","","","","","","","there has been a lot of interest in environmental triggers for asd. in 1998, a paper was published in the lancet that claimed an association between the measles, mumps and rubella (mmr) vaccination and subsequent development of autism (wakefield et al., 1998). this had a dramatic effect on the uptake of mmr vaccination for children, even though the link between mmr and asd was subsequently disproved and the article in the lancet was redacted (deer, 2011).","","","discusses","coci_wakefield_ret_intext_ref.csv"
"cites as evidence","","","10.1007/s11747-017-0528-7","","","","","","","","","","theory failures occur frequently but are sometimes misunderstood or even ignored; indeed, studies that fail to “prove” a theory are seldom published. only “high profile” theory failures, such as one proposing a nonexistent link between mmr vaccine and autism (wakefield et al. 1998) or the lack of generality of the “sleeper effect” (greenwald et al. 1986) have received widespread recognition.
there is nothing intrinsically wrong with theories failing their testing.","","","cites as evidence","coci_wakefield_ret_intext_ref.csv"
"cites for information","relevant literature and background","","10.1177/2158244017709324","related work","","","","","","","","","while sarf scholars intimate that it is often easier to increase concern and stoke fears than it is to reduce them (kasperson et al., 1988), we simply lack much research to understand these dynamics.
this knowledge gap is unfortunate given the recent rise in scientific article retractions (steen, casadevall, & fang, 2013; van noorden, 2011) and, more on point, the few high-profile cases where eventually discredited and retracted peer-reviewed studies on the health risks of childhood vaccines (wakefield et al., 1998) and genetically modified organisms (gmos; séralini et al., 2012) seem to have inflated public risk perceptions of these technologies. indeed, often sensationalized media coverage, content sharing via social media, and the claims-making activities of opponents of these technologies have amplified public worry about childhood vaccines (largent, 2012) and gmos (stephan, 2015).","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"qualifies","relevant literature and background","","10.1177/2158244017709324","related work","","","","","","","","","while most retractions of scientific articles rarely register outside of the scientific community, a few generate considerable media coverage and garner public attention. some prominent retractions that have captured considerable public attention in the recent past include articles on the side effects of childhood vaccines (wakefield et al., 1998), the social cognition of nonhuman primates (hauser, weiss, & marcus, 2002), the creation of multipurpose stem cells (hwang et al., 2004; obokata et al., 2014), the health risks of gm crops (séralini et al., 2012), and change in attitudes about same-sex marriage (lacour & green, 2014).
we chose to focus on the séralini et al. (2012) study and its retraction for two reasons.","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"cites for information","relevant literature and background","","10.1177/2158244017709324","related work","","","","","","","","","we chose to focus on the séralini et al. (2012) study and its retraction for two reasons. first, this study provides a recent and timely case that has not yet garnered much social scientific attention. second, we anticipated that potential participants would be less familiar with the séralini et al. affair than with earlier retractions (such as wakefield et al., 1998), thus reducing concerns about preexisting exposure.
the séralini et al. study was first published in 2012 in the journal food and chemical toxicology.","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"critiques","","","10.1016/j.riem.2017.02.001","","","","","","","","","","use of "false experts" ("fake experts", very much on the subject of "fake news" so fashionable today), denigrating experts established in respectable academic institutions.
selective use of scientific literature to discredit a whole field of research (eg lancet's article on intestinal disorders in children with autism and the measles-mumps-rubella vaccine, which has been completely discredited and even retracted) 3 .
generation of impossible expectations about what scientific research can produce (eg the standards that the tobacco industry has wanted to demand in clinical research, to accept irrefutable causality of the smoking-lung cancer loop).","","","critiques","coci_wakefield_ret_intext_ref.csv"
"describes","discussion and conclusion","","10.1002/asi.23826","conclusions","","","","","","","","","in one widely reported example, a study about evolving attitudes toward gay marriage published in science (lacour & green, 2014) was retracted because one of the authors was not able to provide the raw data. the lancet retracted a study by wakefield et al. (1998) that suggested that combined vaccines of measles, mumps, and rubella lead to autism in children.","","","describes","coci_wakefield_ret_intext_ref.csv"
"qualifies","discussion and conclusion","","10.1002/asi.23826","conclusions","","","","","","","","","scholarly impact is only one aspect that is affected by retraction; there may exist other issues that are also influenced by retraction to be explored in future work. the retracted study from wakefield et al. (1998) shows that the effects of paper retraction may go beyond academia and extend to other aspects of society. in addition, we find in this study that citing retracted papers does not seem to lead to any serious academic consequences","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"cites for information","discussion","","10.1080/20477724.2017.1322261","","","","","","","","","","information on mass vaccination and common sanctions for non-complianceare presented in table 2 [8,25]. the wave of criticism and emerging actions against vaccination obligation was directly associated with wakefield’s publication, in which he described studies interpreting associations between vaccinations and the occurrence of autism and enteritis (which were found to be falsified and subsequently discredited), and sinclair’s publication ‘vaccinations-the hidden facts’, which revealed that vaccines may cause a number of side effects and pose other health hazards [26–29]. contemporarily, vaccination opponents provide various arguments against required vaccinations, which can be grouped into four categories.","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"critiques","the importance of null findings ","","10.1177/0198742917709473","","","","","","","","","","when science functions appropriately, false positives are identified and corrected by replication studies with null findings. the body of research studies that disproved the causal link between vaccinations and autism purported by wakefield et al.’s (1998) study is a prime example of how null findings have worked to identify and correct a false positive finding in special education (see godlee, smith, & marcovitch, 2011). 
of course, just as it is unwise to determine that a practice is effective on the basis of a single study, concluding that a theory or practice is invalid should follow from multiple methodologically sound studies reporting null findings.","","","critiques","coci_wakefield_ret_intext_ref.csv"
"qualifies","the nature and role of vaccination gap","","10.1089/hs.2017.0021","","","","","","","","","","public beliefs and attitudes about vaccinations, in general, and measles vaccination, in particular, have changed over time. while the high effectiveness of 2 doses of measles vaccine is widely accepted and the autism myth promulgated by andrew wakefield in 1998 3 has been refuted and retracted, resistance to vaccination remains consistent and strong. reasons for parents refusing vaccination of their children include the belief that vaccinations are not needed, fear that too many vaccinations are stressful to their child’s immune system, religious beliefs, and concern about the discomfort their child may experience when given several vaccines simultaneously.4","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"cites as evidence","empirical analysis: comparing vaccine safety before and after ncvia","","10.1007/s11151-017-9579-7","","","","","","","","","","the noise that is created by underor over-reporting could influence results. negative publicity that surrounded some vaccines such as the dpt (coulter and fisher 1991) and mmr (wakefield et al. 1998—retracted 2010) could reduce under-reporting for the shot, because parents would realize that the side effects that they may have regarded as coincidental were in fact associated with the vaccine. although the editors of the lancet retracted the wakefield study in 2010, the episode raised questions in the minds of parents concerning the safety of the mmr.","","","cites as evidence","coci_wakefield_ret_intext_ref.csv"
"cites as evidence","","","10.1371/journal.pone.0179031","introduction","","","","","","","","","there is, however, also evidence of the failings of conventional peer review, including bias [5–13], failure to identify error and fraud [14–17] and suppression of innovation [18]. in a survey among 4000 international authors, two-thirds felt that conventional peer review could be improved [19].","","","cites as evidence","coci_wakefield_ret_intext_ref.csv"
"cites as evidence","3 why do philosophers misuse science, and why does it matter?","","10.1111/meta.12256","","","","","","","","","","we have offered examples of philosophers misusing science, but of course we acknowledge that others, including scientists themselves, do so as well. enduring (though by no means unanimous) suspicion that mendel's pea results were too good to be true, pons and fleischmann's precipitous announcement of cold fusion, and andrew wakefield's misrepresentation of the sample and significance of his mmr study (wakefield et al. 1998) are familiar examples ranging from alleged cherry‐picking to downright scientific fraud. we think, however, that philosophers appealing to scientific results and theories are at least as likely to misuse science as scientists are, if not more so: there are features of philosophy (though they are not unique to philosophy) that facilitate the misuse of science, and features of scientific practice that facilitate the misuse of scientific results by outsiders.","","","cites as evidence","coci_wakefield_ret_intext_ref.csv"
"credits","","","10.1371/journal.pone.0181368","introduction","","","","","","","","","the rise in parents choosing not to vaccinate their children may be partially due to parental fears that vaccines cause serious side effects, including autism [16]. although fears about vaccines have been present since their introduction [17], the wave of current fears is due in part to a discredited study by andrew wakefield, which purported to show a link between the mmr vaccine and autism [18]. despite that fact that this study was eventually withdrawn and determined to be fraudulent [19] and that the scientific consensus is that vaccines are not related to the development of autism (e.g., [20,21]), vaccine safety concerns have persisted [22].","","","credits","coci_wakefield_ret_intext_ref.csv"
"credits","immunizations and autism","","10.1002/9781119426981.ch3","","","","","","","","","","the prevention of communicable diseases through immunization has been a major accomplishment in medicine during the last century. unfortunately a single paper published some years ago in the lancet (wakefield et al., 1998) led to major concern that immunization with mmr might increase autism risk. other concerns were expressed about the use of thimerosal (a mercury-containing preservative) in some vaccines.","","","credits","coci_wakefield_ret_intext_ref.csv"
"cites for information","the struggle for schizophrenia","","10.1192/pb.bp.116.054965","","","","","","","","","","she also had many senior roles in the mrc, including the chairing of the highly publicised inquiry into the disastrous linking of the mmr (measles, mumps and rubella) vaccine and autism. with the distressed parents of autistic children leading a class action against the government on the basis of the wakefield paper, 12 she was truly in the eye of the storm. ‘i had to carry the parents with me.’ the disgraced wakefield ‘got what he deserved’, she says.","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"discusses","vaccinations and autism","","10.1007/978-3-662-54799-1_4","","","","","","","","","","there are some special forms of vaccination that have sometimes hit high waves and still do.
andrew wakefield published a "study" in the uk in 1998, in which an ineradicable connection between measles, mumps and rubella vaccination (mmr) and the emergence of autism was claimed (wakefield et al., 1998). embarrassingly, the worst nightmare of the vaccination opponents came true (which of course they deny) - the data was fake.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","discussion","","10.1177/0009922817727465","","","","","","","","","","antivaccine campaigns have attempted to reduce confidence in vaccines by questioning the utility, efficacy, and safety of inoculation.33 the retracted 1998 publication in the lancet of an article by wakefield et al34 asserted a causal link between the measlesmumps-rubella (mmr) vaccine and autism, a link that was subsequently disproven and widely rejected after further studies found no association.35,36 in spite of the retraction, concerns surrounding immunization have increased, and more and more parents are refusing or delaying vaccination of their children.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"obtains background from","methods","","10.1002/aur.1854","methods","","","","","","","","","from these 386 studies, exclusion criteria were: (a) having fewer than 10 diagnosed “case” participants (asd, pdd, etc.) (n = 38); (b) not ascertaining gi symptoms or diagnoses (n = 66); (c) animal studies (n = 32); (d) containing no data (n = 3); (e) including andrew wakefield as a coauthor (n = 11); and (f) review articles, hypothesis papers, meta‐analyses, narratives, editorials and mathematical model papers (n = 92). andrew wakefield et al.'s [1998] lancet paper [wakefield et al., 1998], which suggested the measles, mumps, rubella vaccine predisposes to behavioral regression, was retracted in 2010 due to incorrect elements of the paper as well as ethical violations.","","","obtains background from","coci_wakefield_ret_intext_ref.csv"
"critiques","insidious rigor (level 6)","","10.1093/carcin/bgx085","","","","","","","","","","however, in an increasing number of cases, we are playing ‘catch up’; identifying the fraud long after-the-fact, leading to retraction.
one of the most infamous and globally impactful examples of insidious rigor and scientific misconduct is the study published in the lancet indicating a connection between autism and the measles-mumps-rubella vaccine (6); eventually retracted (7). although many high-profile reports have refuted this retracted study (8–10), parents across the world did not vaccinate their children out of fear of the risk of autism.","","","critiques","coci_wakefield_ret_intext_ref.csv"
"qualifies","situtrustonto and our case study","","10.1007/978-3-319-66939-7_25","","","","","","","","","","in [12] (now retracted), wakefield et al. suggest a link between some vaccinations and autism. this paper triggered extensive studies that resulted in a retraction notice [10] that states: “it has become clear that several elements of the 1998 paper by wakefield et al. are incorrect.”","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"cites for information","situtrustonto and our case study","","10.1007/978-3-319-66939-7_25","","","","","","","","","","the query ♦ do vaccinations cause autism? is a member of vaccination, a sub-concept of medicine, sub-concept of query. the wakefield et al. [12] paper ♦ https://goo.gl/83prsa and the retraction notice [10] ♦ https:// goo.gl/xpfqgk both are scientificpapers serving as source, and they are linked to the query through two individuals belonging to trust, ♦trust83prsa and ♦ trustxpfqgk respectively.","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"qualifies","","","10.1111/1753-6405.12720","introduction","","","","","","","","","in order to achieve elimination of measles, the world health organization recommends that immunisation coverage should be greater than 95%.4
following fraudulent claims of associations with autism,5 mmr has been the subject of numerous studies on vaccine acceptance, hesitancy and refusal. literature describes two general groups of non‐immunisers: those with social and logistical barriers, and those with conscientious objection.","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"critiques","examples of appeal to fear","","10.1186/s12998-017-0157-8","","","","","","","","","","in example 2, the data do not support the premises rendering the argument invalid and making this appeal to fear fallacious.
the autism-vaccine link began in 1998 with the publication of a descriptive study by wakefield et al. [5] hypothesising a connection between the development of autism and the 8 children in the study having received a measles-mumps-rubella vaccination (mmr) one month previously. in spite of wakefield et al.’s paper providing no data supporting a causal association between mmr vaccine and autism and a lack of a plausible biological mechanism a world-wide fear emerged [6].","","","critiques","coci_wakefield_ret_intext_ref.csv"
